name,type
Abkhazia,De facto autonomy
Afghanistan,UN country
Africa,Continent
Åland (FI),De facto autonomy
Alaska,State
Albania,UN country
Alberta,Province
Algeria,UN country
American Samoa (US),External subregion
Andorra,UN country
Angola,UN country
Anguilla (UK),External subregion
Antarctica,Continent
Antarctica (proper),External subregion
Antigua and Barbuda,UN country
Argentina,UN country
Armenia,UN country
Aruba (NL),De facto autonomy
Australia,UN country
Austria,UN country
Azerbaijan,UN country
Azores (PT),External subregion
Bahrain,UN country
Bangladesh,UN country
Barbados,UN country
Belarus,UN country
Belgium,UN country
Belize,UN country
Benin,UN country
Bermuda (UK),External subregion
Bhutan,UN country
Bolivia,UN country
Bonaire (NL),External subregion
Bosnia and Herzegovina,UN country
Botswana,UN country
Bougainville (PG),De facto autonomy
Brazil,UN country
British Columbia,Province
British Virgin Islands (UK),External subregion
Brunei,UN country
Bulgaria,UN country
Burkina Faso,UN country
Burundi,UN country
Cabo Verde,UN country
Cambodia,UN country
Cameroon,UN country
Canary Islands (ES),External subregion
Cayman Islands (UK),External subregion
Central African Republic,UN country
Ceuta (ES),External subregion
Chad,UN country
Chile,UN country
China,UN country
Christmas Island (AU),External subregion
Cocos (Keeling) Islands (AU),External subregion
Colombia,UN country
Comoros,UN country
Cook Islands (NZ),De facto autonomy
Costa Rica,UN country
Côte d'Ivire,UN country
Croatia,UN country
Cuba,UN country
Curaçao (NL),De facto autonomy
Cyprus,UN country
Czechia,UN country
Democratic Republic of the Congo,UN country
Denmark,UN country
Djibouti,UN country
Dominica,UN country
Dominican Republic,UN country
Easter Island (CL),External subregion
Ecuador,UN country
Egypt,UN country
El Salvador,UN country
Equatorial Guinea,UN country
Eritrea,UN country
Estonia,UN country
Eswatini,UN country
Ethiopia,UN country
Falkland Islands (UK),External subregion
Faroe Islands (DK),De facto autonomy
Fiji,UN country
Finland,UN country
French Guiana (FR),External subregion
French Polynesia (FR),De facto autonomy
French Southern & Antarctic Lands (FR),External subregion
Gabon,UN country
Galápagos Islands (EC),External subregion
Georgia,UN country
Germany,UN country
Ghana,UN country
Gibralter (UK),External subregion
Greenland (DK),De facto autonomy
Grenada,UN country
Guadeloupe (FR),External subregion
Guam (US),External subregion
Guatemala,UN country
Guernsey (UK),De facto autonomy
Guinea,UN country
Guinea-Bissau,UN country
Guyana,UN country
Haiti,UN country
Heard Island and McDonald Islands (AU),External subregion
Honduras,UN country
Hong Kong,De facto autonomy
Hungary,UN country
Iceland,UN country
India,UN country
Iran,UN country
Iraq,UN country
Isle of Man (UK),De facto autonomy
Israel,UN country
Japan,UN country
Jersey (UK),De facto autonomy
Jordan,UN country
Kazakhstan,UN country
Kenya,UN country
Kiribati,UN country
Kosovo,UN country
Kuwait,UN country
Kyrgyzstan,UN country
Laos,UN country
Latvia,UN country
Lebanon,UN country
Lesotho,UN country
Liberia,UN country
Libya,UN country
Liechtenstein,UN country
Lithuania,UN country
Luxembourg,UN country
Macau,De facto autonomy
Madagascar,UN country
Madeira (PT),External subregion
Malawi,UN country
Malaysia,UN country
Maldives,UN country
Mali,UN country
Malta,UN country
Manitoba,Province
Marshall Islands,UN country
Martinique (FR),External subregion
Mauritania,UN country
Mauritius,UN country
Mayotte (FR),External subregion
Melilla (ES),External subregion
Micronesia,UN country
Moldova,UN country
Monaco,UN country
Mongolia,UN country
Montenegro,UN country
Montserrat (UK),External subregion
Morocco,UN country
Mozambique,UN country
Myanmar,UN country
Namibia,UN country
Nauru,UN country
Nepal,UN country
Netherlands,UN country
New Brunswick,Province
New Caledonia (FR),De facto autonomy
New Mexico,State
New Zealand,UN country
Newfoundland and Labrador,Province
Nicaragua,UN country
Niger,UN country
Nigeria,UN country
Niue (NZ),De facto autonomy
Norfolk Island (AU),External subregion
North Korea,UN country
North Macedonia,UN country
Northern Cyprus,De facto autonomy
Northern Mariana Islands (US),External subregion
Northwest Territories,Territory
Norway,UN country
Nova Scotia,Province
Nueva Esparta (VE),External subregion
Nunavut,Territory
Oceania,Continent
Oman,UN country
Pakistan,UN country
Palau,UN country
Palestine,De facto autonomy
Panama,UN country
Papua New Guinea,UN country
Paraguay,UN country
Pelagie Islands (IT),External subregion
Peru,UN country
Philippines,UN country
Pitcairn Islands (UK),External subregion
Poland,UN country
Portugal,UN country
Prince Edward Island,Province
Qatar,UN country
Republic of the Congo,UN country
Réunion (FR),External subregion
Romania,UN country
Russia,UN country
Rwanda,UN country
Saba (NL),External subregion
Saint Barthélemy (FR),De facto autonomy
"Saint Helena, Ascension, and Tristan da Cunha (UK)",External subregion
Saint Martin (FR),External subregion
Saint Pierre and Miquelon (FR),External subregion
Samoa,UN country
San Andrés and Providencia (CO),External subregion
São Tomé and Principe,UN country
Saskatchewan,Province
Saudi Arabia,UN country
Senegal,UN country
Serbia,UN country
Seychelles,UN country
Sierra Leone,UN country
Singapore,UN country
Sint Eustatius (NL),External subregion
Sint Maarten (NL),De facto autonomy
Slovakia,UN country
Slovenia,UN country
Socotra Archipelago (YE),External subregion
Solomon Islands,UN country
Somalia,UN country
Somaliland,De facto autonomy
South Africa,UN country
South America,Continent
