subcontinent,population_estimate
South Asia,1856011947
East Asia,1648195640
Southeast Asia,681676527
Northern America,504254574
Southern America,423752405
West Africa,417627897
East Africa,334174841
North Africa,272872718
Middle East,269750657
Eastern Europe,218681036
Western Europe,201045141
Southern Africa,192412556
Central Africa,139205168
Southern Europe,129975481
Central Asia,115098045
Northern Europe,100665593
Anatolia,85279553
Central Europe,65693725
Central America,51007333
Caribbean,44630951
South Pacific,43470453
Indian Ocean Islands,30175062
Balkans,27195026
Caucasus,17169873
Baltics,6110244
Melanesia,2432440
Polynesia,674113
Micronesia,498490
North Atlantic,127012
Eastern Pacific,40792
Southern Atlantic,9313
Mainland,3200
Southern Ocean,250
